TU_ID	Gene_name	Start	End	Strand	Expression_E	Description
0	thrLABC	148	5019	+	3,751242338	thrLABC
1	thrL	148	309	+	4,922400264	thrL
2	talB	8191	9225	+	66,5513903	talB
3	mbiA	10643	11314	+	0,313959265	mbiA
5	dnaK-tpke11-dnaJ	12123	15297	+	126,7305188	dnaK-tpke11-dnaJ
8	nhaAR	17458	19619	+	5,412926114	nhaAR
890	insA-5AB-5B-5	19811	20518	-	1,490569407	insA-5AB-5B-5
10	rpsT	20771	21119	-	222,7969349	rpsT
12	ribF-ileS-lspA-fkpB-ispH	21383	27278	+	5,400889288	ribF-ileS-lspA-fkpB-ispH
13	ileS-lspA-fkpB-ispH	21833	27278	+	14,86483012	ileS-lspA-fkpB-ispH
16	lspA-fkpB-ispH	25014	27278	+	3,344683806	lspA-fkpB-ispH
17	dapB	28343	29271	+	10,97090517	dapB
19	carAB	29619	34119	+	1,162962963	carAB
21	carB	30775	34037	+	0,447491568	carB
22	caiF	34218	34694	+	0,474854855	caiF
23	caiTABCDE	34781	42036	-	0,150695591	caiTABCDE
2141	caiCDE	34781	37823	-	0,135366629	caiCDE
24	fixABCX	42325	45749	+	0,048238538	fixABCX
25	yaaU	45592	47137	+	0,035860523	yaaU
26	folA	49799	50301	+	5,300870155	folA
27	apaGH	50380	52033	-	3,960114603	apaGH
28	rsmA-apaGH	50380	52587	-	5,955241753	rsmA-apaGH
2083	pdxA-rsmA-apaGH	50380	53415	-	5,285092111	pdxA-rsmA-apaGH
2087	surA-pdxA-rsmA-apaGH	50380	54701	-	7,721805624	surA-pdxA-rsmA-apaGH
2084	pdxA-rsmA	51609	53415	-	6,864099548	pdxA-rsmA
31	lptD-surA-pdxA	52427	57335	-	11,60847216	lptD-surA-pdxA
29	lptD	54755	57155	-	38,01986111	lptD
32	rapA-rluA	59687	63357	-	3,160401359	rapA-rluA
33	rapA	60358	63587	-	3,070954132	rapA
34	polB	63429	65802	-	0,314572466	polB
35	araBAD	65800	70074	-	0,076368771	araBAD
36	araC	70241	71264	+	0,805141384	araC
37	yabI	71271	72114	+	0,898083663	yabI
39	sgrR-sroA-tbpA-thiPQ	72229	77337	-	0,275182674	sgrR-sroA-tbpA-thiPQ
38	sroA	75516	75607	-	0,592257297	sroA
40	sgrST-setA	77367	78798	+	10,87953477	sgrST-setA
41	leuLABCD	78848	83734	-	1,230659026	leuLABCD
42	leuL	83574	83734	-	0,483201645	leuL
44	leuO	84304	85311	+	0,364117842	leuO
48	ilvIH	85600	87847	+	2,134994808	ilvIH
52	cra	87947	89031	+	7,01955563	cra
53	mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	89596	107473	+	6,652581578	mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
54	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	90010	107473	+	6,559719663	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
55	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	90688	107473	+	17,65455268	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
57	ftsQ	102742	103984	+	6,344876418	ftsQ
58	ftsQAZ	102867	106455	+	9,662312223	ftsQAZ
59	ftsAZ	103561	106455	+	10,59136035	ftsAZ
60	ftsZ	104636	106455	+	34,70111783	ftsZ
63	lpxC	106508	107543	+	96,70853462	lpxC
2109	yacG	111649	111845	-	3,742099953	yacG
65	ppdD-hofBC	114522	117704	-	0,259403536	ppdD-hofBC
66	nadC	117752	118662	-	2,929374071	nadC
67	ampDE	118703	120134	+	1,075427328	ampDE
68	aroP	120144	121649	-	2,508305648	aroP
70	pdhR-aceEF-lpd	122034	129393	+	52,30377612	pdhR-aceEF-lpd
71	aceEF	122969	127618	+	46,48990595	aceEF
72	lpd	127717	129393	+	96,89134419	lpd
73	acnB	131564	134211	+	64,30764387	acnB
75	yacL	134339	134749	+	9,795839274	yacL
76	yacC-speED	134756	136939	-	14,81680281	yacC-speED
77	cueO	137045	138632	+	0,608105928	cueO
78	gcd	138801	141262	-	3,455099553	gcd
80	hpt	141360	141966	+	11,39293246	hpt
81	can	142008	142702	-	22,47165486	can
82	panD	146314	146744	-	30,92713178	panD
84	panBC	147944	149629	-	5,134254537	panBC
2123	yadC	149715	150952	-	0,107634056	yadC
85	yadV-htrE	152829	156213	-	0,119976359	yadV-htrE
88	pcnB-folK	157253	159170	-	19,98226395	pcnB-folK
92	dksA-gluQ	159186	160656	-	56,59183673	dksA-gluQ
95	sfsA-dksA	160149	161514	-	25,3908014	sfsA-dksA
96	mrcB	164721	167263	+	1,917403798	mrcB
97	fhuACDB	167442	173443	+	2,623854628	fhuACDB
98	hemL	173602	174901	-	7,201180395	hemL
101	erpA	176561	176953	+	10,08187232	erpA
102	mtn-btuF-yadS	177001	179182	-	4,454036336	mtn-btuF-yadS
103	dgt	179214	180753	+	4,275936755	dgt
105	degP	180845	182307	+	8,78342004	degP
106	cdaR	182447	183619	+	1,601047137	cdaR
107	dapD	185090	185976	-	21,51050765	dapD
108	glnD	185978	188654	-	1,27857977	glnD
109	tff-rpsB-tsf	189712	191737	+	189,8740362	tff-rpsB-tsf
110	pyrH	191812	192579	+	19,49335112	pyrH
111	frr	192814	193497	+	30,89348865	frr
112	ispU	194901	195663	+	31,38582677	ispU
114	rseP	196470	197897	+	12,14075374	rseP
115	bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	197026	208607	+	15,68392934	bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE
116	bamA	197821	200359	+	25,39200021	bamA
117	skp-lpxD-fabZ-lpxA	200455	203347	+	30,61024489	skp-lpxD-fabZ-lpxA
118	lpxD	200960	201995	+	27,58336148	lpxD
119	accA	208326	209579	+	39,90822027	accA
2088	ldcC	209679	211819	+	0,767669591	ldcC
121	yaeP-rof	213678	214186	-	3,692367381	yaeP-rof
122	yaeQ-arfB-nlpE	214280	215978	+	2,724240237	yaeQ-arfB-nlpE
123	proS	217020	218836	-	11,51628647	proS
124	metNIQ	220113	222713	-	4,102849909	metNIQ
125	gmhB	222806	223407	+	5,209313154	gmhB
126	rrsH-ileV-alaV-rrlH-rrfH	223593	228874	+	70721,86492	rrsH-ileV-alaV-rrlH-rrfH
2137	rrlH-rrfH	225759	228874	+	30929,80564	rrlH-rrfH
2126	rrfG	228756	228874	+	275,1862064	rrfG
2112	aspU	228928	229003	+	23,65521945	aspU
128	dkgB	229098	229969	+	1,141403749	dkgB
129	yafDE	231064	232548	+	1,800391363	yafDE
132	rnhA	235535	236040	-	2,471662837	rnhA
130	dnaQ	235934	236797	+	5,344534569	dnaQ
133	aspV	236913	237066	+	1,341733079	aspV
2158	yafU	238746	239083	-	0,072658577	yafU
134	yafV	239419	240215	-	1,39641899	yafV
135	fadE	240859	243405	-	0,240371173	fadE
136	dinJ-yafQ	245961	246614	-	4,14448866	dinJ-yafQ
137	dinB-yafNOP	250880	253160	+	0,484883236	dinB-yafNOP
138	yafNOP	251969	253160	+	0,512313088	yafNOP
139	pepD	254259	255736	-	60,93048973	pepD
142	gpt	255914	256473	+	5,062150679	gpt
143	frsA	256502	257770	+	1,9804261	frsA
144	crl_1	257810	257906	+	8,864583333	crl_1
146	phoE	258269	259381	-	180,8511325	phoE
147	thrW	262065	262169	+	6,525888613	thrW
148	ykfBF-yafX-ykfGH-yafW-ykfI	262552	265450	-	2,727168162	ykfBF-yafX-ykfGH-yafW-ykfI
2146	ykfGH-yafW-ykfI	262552	263955	-	0,644773317	ykfGH-yafW-ykfI
150	yafZ	266408	267249	-	0,274219887	yafZ
151	insN-1I-1O-1	269450	271478	+	1,452125312	insN-1I-1O-1
152	mhpT	374610	375893	+	0,093129457	mhpT
153	tauABCD	384429	387869	+	0,078012947	tauABCD
154	hemB	387977	388977	-	10,34515329	hemB
155	ampH	394354	395586	-	2,281926407	ampH
157	sbmA-yaiW	395777	398189	+	1,063803398	sbmA-yaiW
158	yaiZ	398678	399028	+	0,81327483	yaiZ
159	iraP	400587	400869	+	15,86288416	iraP
161	phoA-psiF	400931	402824	+	67,00108805	phoA-psiF
162	dgcC	402911	404041	+	0,297836991	dgcC
163	proC	404010	404909	-	2,106207102	proC
164	aroL-yaiA-aroM	405504	407328	+	7,650584795	aroL-yaiA-aroM
2150	yaiA-aroM	406203	407328	+	2,342632012	yaiA-aroM
166	ppnP	407372	407684	+	9,996016114	ppnP
167	ykiA	407798	408173	+	0,86101389	ykiA
168	araJ	410521	411752	-	0,277288098	araJ
169	sbcDC	411831	416200	-	0,874739149	sbcDC
170	phoBR	416325	418407	+	12,43410794	phoBR
171	brnQ-proY	418712	421582	+	1,004024154	brnQ-proY
172	malZ	421719	423731	+	1,707090789	malZ
174	queA	424209	425304	+	2,954096878	queA
175	tgt-yajC	425279	427009	+	16,83896061	tgt-yajC
176	yajC-secDF	426429	429699	+	19,10864657	yajC-secDF
177	tsx	430320	431314	-	149,0955734	tsx
179	nrdR-ribDE-nusB-thiL-pgpA	432201	436330	+	3,667923804	nrdR-ribDE-nusB-thiL-pgpA
180	ribE-nusB-thiL-pgpA	433728	436330	+	4,282364546	ribE-nusB-thiL-pgpA
181	xseB-ispA-dxs-yajO	436385	440596	-	4,181138599	xseB-ispA-dxs-yajO
2119	yajO	436385	437358	-	2,36480934	yajO
182	thiI	440692	442220	+	4,14470464	thiI
183	yajQ	443882	444397	+	23,80634184	yajQ
184	yajR	444526	445910	-	0,852980922	yajR
185	cyoABCDE	446039	450876	-	59,32087888	cyoABCDE
187	yajG-ampG	451294	453433	-	6,910015227	yajG-ampG
186	yajG	452781	453433	-	17,08525401	yajG
188	bolA	453658	454088	+	29,3496124	bolA
190	tig	454217	455654	+	330,1354674	tig
192	clpPX	455829	457978	+	47,60912052	clpPX
195	clpX-lon	456426	460465	+	15,05833896	clpX-lon
196	lon	458039	460465	+	14,67859981	lon
197	hupB	460619	461001	+	277,1038394	hupB
205	ppiD	461043	463009	+	37,82163445	ppiD
207	fadM	463584	464023	+	0,602785095	fadM
208	decR	467576	468064	+	1,533691738	decR
209	glnK-amtB	471780	473524	+	0,245105344	glnK-amtB
210	tesB	473525	474424	-	0,609060254	tesB
211	ylaC	478005	478511	-	6,764910856	ylaC
212	tomB-hha	479314	480017	-	8,000048249	tomB-hha
213	acrB	480478	483908	-	11,32742331	acrB
214	acrAB	480478	484921	-	11,882935	acrAB
215	acrR	484923	485631	+	2,475552222	acrR
216	mscK	485716	489121	+	1,353068294	mscK
217	apt	490534	491186	+	6,759162326	apt
218	dnaX	491280	493246	+	1,58757013	dnaX
219	ybaB-recR	492933	494233	+	10,89591925	ybaB-recR
220	htpG	494308	496252	+	69,25257202	htpG
223	adk	496363	497042	+	33,97383891	adk
224	hemH	497255	498240	+	1,178004518	hemH
225	aes	498169	499274	-	0,310455421	aes
226	ybaL	500786	502518	-	2,387428521	ybaL
227	chiX	506428	506510	+	0,588514502	chiX
228	ybaQ	507415	507782	+	4,994466333	ybaQ
229	copA	508099	510634	-	0,646103744	copA
230	glsA-ybaT	510797	513091	+	0,155800434	glsA-ybaT
231	qmcA-ybbJ	513625	515046	-	1,052515527	qmcA-ybbJ
232	fetAB	515127	516585	+	1,642504719	fetAB
233	ybbN	516649	517713	-	4,55303846	ybbN
234	tesA-ybbO	517564	519172	-	1,610668536	tesA-ybbO
235	allS	530519	531523	-	0,023403722	allS
236	allA	531614	532156	+	0,323325894	allA
2092	allR	532235	533049	+	4,062330812	allR
237	gcl-hyi-glxR-ybbW-allB-ybbY-glxK	533131	542256	+	0,048412925	gcl-hyi-glxR-ybbW-allB-ybbY-glxK
238	ybbY-glxK	539583	542256	+	0,065863103	ybbY-glxK
2124	glxK	541112	542256	+	0,063659613	glxK
239	allDCE	542485	545634	-	0,282149886	allDCE
240	purEK	550750	552364	-	0,65857998	purEK
241	cysS	553800	555218	+	4,35437226	cysS
242	folD-ybcJ	555884	557003	-	3,922459873	folD-ybcJ
243	argU	563926	564021	+	1,008075499	argU
244	nmpC	574981	576092	-	53,95976985	nmpC
245	essD-rrrD-rzpD	576096	577790	+	0,562347923	essD-rrrD-rzpD
246	borD	577823	578143	-	9,056924354	borD
247	appY	582879	583652	+	0,172488141	appY
249	ompT	583903	584887	-	124,1989684	ompT
250	cusRS	592551	594684	-	0,402054088	cusRS
251	cusCFBA	594796	601079	+	0,126261895	cusCFBA
252	pheP	601152	602631	+	1,110366986	pheP
253	nfsB	603994	604675	-	9,441129831	nfsB
254	hokE	606954	607210	+	0,045962883	hokE
255	fepA-entD	608682	611889	-	0,275164928	fepA-entD
256	fes-ybdZ-entF-fepE	611910	618609	+	0,256657226	fes-ybdZ-entF-fepE
257	fepDGC	618607	621414	-	0,781498634	fepDGC
259	entS	621476	622772	+	0,560442387	entS
261	fepB	622777	623949	-	0,442044259	fepB
262	entCEBAH	624054	628935	+	0,407881188	entCEBAH
263	entH	628515	628935	+	0,901008819	entH
264	cstA	629096	631313	+	4,16433619	cstA
267	ybdN	634572	635908	-	0,073894198	ybdN
269	dsbG	637050	638022	-	2,872695525	dsbG
268	ahpCF	637916	640540	+	128,4563008	ahpCF
271	ahpF	638225	640540	+	44,41076545	ahpF
272	uspG	640662	641125	-	6,130686689	uspG
273	rna	643420	644256	-	5,155012429	rna
274	citCDEFXG	645854	651174	-	0,103383459	citCDEFXG
275	dpiBA	651395	653764	+	0,787955537	dpiBA
278	dcuC	655408	656504	-	0,55960408	dcuC
279	pagP	658070	658660	+	0,404568262	pagP
280	cspE	658794	659044	+	541,304	cspE
282	lipA	660795	661844	-	11,19977512	lipA
283	ybeD-lipB	663181	664249	-	4,339997559	ybeD-lipB
284	rsfS-rlmH-mrdAB-rlpA	665646	670615	-	3,872754779	rsfS-rlmH-mrdAB-rlpA
285	ybeL	676537	677043	+	4,984718475	ybeL
286	gltI-sroC-gltJKL	686074	689439	-	8,780089153	gltI-sroC-gltJKL
287	ybeZYX-lnt	690887	695012	-	8,391414499	ybeZYX-lnt
288	metT-leuW-glnUW-metU-glnVX	697936	698706	-	15,80574102	metT-leuW-glnUW-metU-glnVX
2157	glnW-metU-glnVX	697936	698373	-	13,22079682	glnW-metU-glnVX
289	asnB	699057	700765	-	3,128119114	asnB
290	umpH	701118	701895	-	2,787902387	umpH
294	nagBAC-umpH	701118	705251	-	4,263375073	nagBAC-umpH
291	nagC	701918	703551	-	6,452745458	nagC
293	nagA	703147	704718	-	5,109219158	nagA
295	nagE	705384	707508	+	10,27035805	nagE
296	glnS	707604	709521	+	28,26638845	glnS
298	chiPQ	709780	711659	+	0,766095645	chiPQ
299	fur	711706	712259	-	86,75647981	fur
303	uof-fur	711706	712372	-	72,78378378	uof-fur
305	fldA-uof-fur	711706	713064	-	50,10186549	fldA-uof-fur
307	ybfE	713149	713482	-	4,129392692	ybfE
308	seqA-pgm	714486	716785	+	11,61278071	seqA-pgm
309	ybfHG	717491	718184	-	0,068498416	ybfHG
310	kdpFABC	725951	730392	-	0,025947886	kdpFABC
311	ybgA-phr	740524	742468	+	0,804012346	ybgA-phr
313	phr	740965	742468	+	0,266651266	phr
314	ybgI-pxpBCA-nei	744342	748269	+	5,440624735	ybgI-pxpBCA-nei
316	gltA	754670	756213	-	192,5716137	gltA
318	sdhCDAB-sucABCD	756502	766592	+	25,10223059	sdhCDAB-sucABCD
319	sdhDAB	756948	759993	+	24,92576023	sdhDAB
320	sucABCD	760130	766592	+	23,68958891	sucABCD
321	sucAB	760130	764509	+	21,57806223	sucAB
323	mngR	766697	767469	-	1,575946907	mngR
322	mngAB	767355	772154	+	0,143908795	mngAB
324	cydAB	772828	775724	+	40,87580571	cydAB
329	lysT-valT-lysW	782058	782461	+	31,68987838	lysT-valT-lysW
330	nadA-pnuC	783605	785428	+	0,634776588	nadA-pnuC
331	aroG	787135	788364	+	9,665207996	aroG
332	gpmA	788387	789175	-	131,7026227	gpmA
335	galETKM	789341	793720	-	5,039430616	galETKM
334	galK	790375	792006	-	1,486634661	galK
340	galETK	790375	793629	-	2,432288465	galETK
338	galET	791527	793629	-	1,081509673	galET
336	galE	792583	793629	-	0,980560867	galE
346	ybhC	807542	808864	-	3,576891754	ybhC
347	bioA	809512	810835	-	0,500639953	bioA
348	bioBFCD	810846	814490	+	0,193807004	bioBFCD
349	uvrB	815037	817090	+	5,343562267	uvrB
352	moaABCDE	818458	821290	+	3,143596987	moaABCDE
354	moaBCDE	819521	821290	+	1,087086821	moaBCDE
355	ybhL	821402	822131	+	5,064575844	ybhL
356	ybhQ	826145	826583	+	6,642679851	ybhQ
357	cecR-ybhGFSR	826546	832212	-	0,5052377	cecR-ybhGFSR
358	dinG-ybiB	834617	837753	+	1,323399731	dinG-ybiB
359	ybiI	839734	840027	-	0,223809976	ybiI
360	fiu	840793	843191	-	0,631359833	fiu
361	mcbA	843340	843696	-	0,28786922	mcbA
362	glnQ	847285	848174	-	2,529264328	glnQ
363	glnHPQ	847285	849741	-	10,09948426	glnHPQ
365	dps	849952	850493	-	22,48022149	dps
366	ompX	851753	852552	+	353,7788903	ompX
368	rybA-mntS	854269	854607	-	5,174465346	rybA-mntS
369	mntR-ybiR	854642	856308	+	2,002644523	mntR-ybiR
370	ldtB	856368	857329	-	5,749317464	ldtB
371	ybiT	857491	859098	+	7,183287797	ybiT
372	moeAB	865924	867937	-	0,836721314	moeAB
373	iaaA-gsiABCD	868081	874344	+	0,668465846	iaaA-gsiABCD
374	rimO	878254	879613	-	3,146377455	rimO
375	gstB	881398	882062	-	3,460017022	gstB
376	dacC	882197	883472	+	3,310761455	dacC
2108	deoR	883520	884277	-	1,957995056	deoR
