TU_ID	Gene_name	Start	End	Strand	Expression_E	Description
701	safA-ydeO	1585762	1586863	-	0,005790042	safA-ydeO
2160	ydeO	1585762	1586522	-	0,008381124	ydeO
1184	ypjB	2783416	2784595	-	0,010041002	ypjB
1284	ygeH	2991657	2993247	+	0,011227379	ygeH
993	rihB	2258701	2259707	-	0,012303552	rihB
2162	yccE	1065580	1066835	+	0,019595272	yccE
958	wza-wzb-wzc	2136749	2140451	-	0,019602729	wza-wzb-wzc
2095	yhiL	4007079	4008316	+	0,01987995	yhiL
235	allS	530519	531523	-	0,023403722	allS
310	kdpFABC	725951	730392	-	0,025947886	kdpFABC
959	wza-wzb-wzc-wcaAB	2135326	2140841	-	0,027842117	wza-wzb-wzc-wcaAB
2093	yjcS	4309213	4311197	-	0,0302157	yjcS
966	yegRZ	2170861	2171607	-	0,032202809	yegRZ
2110	ydeQ	1589656	1590569	-	0,032305692	ydeQ
474	rutABCDEFG	1070055	1075569	-	0,035055652	rutABCDEFG
25	yaaU	45592	47137	+	0,035860523	yaaU
1366	ygiZ	3171657	3172100	-	0,040166264	ygiZ
666	paaZ	1454433	1456505	-	0,040202421	paaZ
1020	atoDAEB	2329204	2333084	+	0,042209727	atoDAEB
687	narWV	1538773	1541522	-	0,045508634	narWV
254	hokE	606954	607210	+	0,045962883	hokE
24	fixABCX	42325	45749	+	0,048238538	fixABCX
237	gcl-hyi-glxR-ybbW-allB-ybbY-glxK	533131	542256	+	0,048412925	gcl-hyi-glxR-ybbW-allB-ybbY-glxK
1828	rhaBAD	3540331	3544354	+	0,049456541	rhaBAD
724	flxA	1649224	1649572	+	0,052621554	flxA
2016	argI	4483109	4484145	-	0,052730753	argI
1633	pdeH	3962308	3963116	+	0,053391298	pdeH
652	micC	1439957	1440064	+	0,053604223	micC
551	hlyE	1232182	1233164	-	0,056176909	hlyE
2028	leuX	4502188	4502290	+	0,056181349	leuX
1290	ssnA	3018728	3020299	+	0,056501764	ssnA
2161	yiaA	3914176	3914612	+	0,056630047	yiaA
669	ydbD	1477902	1480285	+	0,058075741	ydbD
811	ves	1827198	1827819	-	0,058570917	ves
462	hyaABCDEF	1033528	1039177	+	0,060696219	hyaABCDEF
631	puuCBE	1365564	1369650	+	0,063010652	puuCBE
2124	glxK	541112	542256	+	0,063659613	glxK
238	ybbY-glxK	539583	542256	+	0,065863103	ybbY-glxK
1351	pitB	3134650	3136180	-	0,066480586	pitB
2134	yjfKLMC	4417104	4419992	+	0,066822814	yjfKLMC
1583	ryhB	4060521	4060609	+	0,066839596	ryhB
309	ybfHG	717491	718184	-	0,068498416	ybfHG
688	narU	1545508	1546959	-	0,068917988	narU
649	ralA	1416392	1416559	+	0,069146276	ralA
886	tar-tap-cheRBYZ	1969229	1975551	-	0,069318286	tar-tap-cheRBYZ
719	nohA-ydfN-tfaQ	1637146	1639438	-	0,069754499	nohA-ydfN-tfaQ
2158	yafU	238746	239083	-	0,072658577	yafU
2130	csgC	1106324	1106655	+	0,073372695	csgC
267	ybdN	634572	635908	-	0,073894198	ybdN
443	ssuEADCB	994821	999106	-	0,076089681	ssuEADCB
