TU_ID	Gene_name	Start	End	Strand	Expression_E	Description
1868	thrU-tyrU-glyT-thrT-tufB	3460618	3462421	-	332,1402434	thrU-tyrU-glyT-thrT-tufB
329	lysT-valT-lysW	782058	782461	+	31,68987838	lysT-valT-lysW
288	metT-leuW-glnUW-metU-glnVX	697936	698706	-	15,80574102	metT-leuW-glnUW-metU-glnVX
2157	glnW-metU-glnVX	697936	698373	-	13,22079682	glnW-metU-glnVX
903	glyW-cysT-leuZ-3'ETS	1995007	1995438	-	7,585631488	glyW-cysT-leuZ-3'ETS
1783	argX-hisR-leuT-proM	3654962	3655438	-	4,512331054	argX-hisR-leuT-proM
1050	argW	2472876	2472950	+	0,079152153	argW	74
2112	aspU	228928	229003	+	23,65521945	aspU	75
2128	argQ	2817562	2817637	-	5,895082392	argQ	75
1950	pheU	3110143	3110218	+	0,244005158	pheU	75
1391	ileX	3215375	3215450	+	0	ileX	75
1642	proK	3932843	3932920	+	0,93285598	proK	77
1004	proL	2290663	2290742	+	0,594758048	proL	79
1285	glyU	2998762	2998841	-	0,225244947	glyU	79
939	asnU	2063104	2063184	+	0,447102252	asnU	80
936	asnT	2047800	2047882	+	0,797188084	asnT	82
942	asnV	2047800	2047882	+	0,797188084	asnV	82
935	serU	2046727	2046820	-	2,293436017	serU	93
243	argU	563926	564021	+	1,008075499	argU	95
2028	leuX	4502188	4502290	+	0,056181349	leuX	102
147	thrW	262065	262169	+	6,525888613	thrW	104
488	serX	1098928	1099038	-	0,434763499	serX	110
1347	pheV	3110143	3110254	+	0,166269001	pheV	111
1699	selC	3805221	3805338	-	0,200966367	selC	117
461	serT	1033134	1033262	-	0	serT	128
597	trpL	1325811	1325943	-	0,089784531	trpL	132
791	pheM	1801997	1802136	-	0,601505957	pheM	139
133	aspV	236913	237066	+	1,341733079	aspV	153
42	leuL	83574	83734	-	0,483201645	leuL	160
1	thrL	148	309	+	4,922400264	thrL	161
404	serW	927387	927549	-	0,492672555	serW	162
460	serT	1033095	1033262	-	0	serT	167
405	serW	927387	927586	-	0,672447601	serW	199
1066	alaWX	2524609	2524820	-	1,089466329	alaWX	211
1433	metY	3319049	3319273	-	3,812629904	metY	224
1434	metY	3319008	3319273	-	3,656918575	metY	265
2152	tyrV-tpr	1289708	1290026	-	2,646704206	tyrV-tpr	318
1266	metZWV	2947160	2947494	+	6,60964427	metZWV	334
1437	metY	3319008	3319351	-	2,900456996	metY	343
1971	glyVXY	4398115	4398459	+	3,514134899	glyVXY	344
2059	leuQPV	4611881	4612233	-	1,975119424	leuQPV	352
1267	metZWV	2947160	2947533	+	6,113425533	metZWV	373
1071	valUXY-lysV	2527492	2527895	+	40,65176143	valUXY-lysV	403
329	lysT-valT-lysW	782058	782461	+	31,68987838	lysT-valT-lysW	403
903	glyW-cysT-leuZ-3'ETS	1995007	1995438	-	7,585631488	glyW-cysT-leuZ-3'ETS	431
2157	glnW-metU-glnVX	697936	698373	-	13,22079682	glnW-metU-glnVX	437
1783	argX-hisR-leuT-proM	3654962	3655438	-	4,512331054	argX-hisR-leuT-proM	476
1440	secG-leuU	3323012	3323563	-	28,2629981	secG-leuU	551
1441	secG-leuU	3323012	3323566	-	28,14429199	secG-leuU	554
