TU_ID	Gene_name	Start	End	Strand	Expression_E	Description
1647	cspA	3921224	3921596	-	2997,922043	cspA
1410	rnpB	3271165	3271568	-	1879,892473	rnpB
1517	tufA	4169814	4171392	+	1583,380439	tufA
1179	ssrA	2755364	2755732	+	1522,94985	ssrA
1013	ompC	2316066	2317285	-	1349,018868	ompC
1504	rpsMKD-rpoA-rplQ	4198973	4201956	+	1331,907699	rpsMKD-rpoA-rplQ
1507	rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	4188096	4193270	+	1293,836232	rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ
451	ompA	1020557	1021730	-	772,5208866	ompA
826	gapA	1865571	1866601	+	767,4530744	gapA
1260	csrB	2923944	2924301	-	759,7106042	csrB
430	rpsA-ihfB	963403	965655	+	736,8108348	rpsA-ihfB
1265	gcvB	2942474	2942677	+	672,3245586	gcvB
522	yceD-rpmF	1149490	1150238	+	543,0142602	yceD-rpmF
280	cspE	658794	659044	+	541,304	cspE
2091	rplL	3456878	3457242	-	532,2876688	rplL
1519	fusA-tufA	4167853	4171392	+	506,8844041	fusA-tufA
1520	rpsLG-fusA-tufA	4166917	4171392	+	452,4985078	rpsLG-fusA-tufA
1506	rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ	4193316	4198919	+	431,9218662	rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ
1080	ptsHI-crr	2540169	2542947	+	370,962803	ptsHI-crr
779	lpp	1760219	1760492	+	369,7277167	lpp
366	ompX	851753	852552	+	353,7788903	ompX
794	rpmI-rplT	1802199	1803262	-	338,2661804	rpmI-rplT
1868	thrU-tyrU-glyT-thrT-tufB	3460618	3462421	-	332,1402434	thrU-tyrU-glyT-thrT-tufB
190	tig	454217	455654	+	330,1354674	tig
1959	groL	4376585	4378472	+	304,9166225	groL
795	infC-rpmI-rplT	1802199	1803653	-	296,2305684	infC-rpmI-rplT
1085	crr	2542048	2542947	+	295,424175	crr
792	rplT	1802199	1802598	-	287,1595361	rplT
851	yobF-cspC	1910062	1910452	-	286,1564103	yobF-cspC
528	acpP	1154274	1154585	+	280,6265299	acpP
1473	rplM-rpsI	3378733	3379648	-	278,6831394	rplM-rpsI
197	hupB	460619	461001	+	277,1038394	hupB
2126	rrfG	228756	228874	+	275,1862064	rrfG
1447	rplU-rpmA	3333839	3334492	-	265,8781003	rplU-rpmA
1170	raiA	2736882	2737272	+	264,5460779	raiA
1174	rpsP-rimM-trmD-rplS	2743961	2746031	-	262,7296622	rpsP-rimM-trmD-rplS
429	cmk-rpsA	962709	965211	+	241,5533869	cmk-rpsA
1847	rpmE	3510578	3510894	-	236,9414682	rpmE
1743	atpBEFHAGDC	3715669	3722294	+	234,7130566	atpBEFHAGDC
10	rpsT	20771	21119	-	222,7969349	rpsT
439	ompF	987438	988635	-	210,9897971	ompF
758	slyB	1722613	1723178	+	203,4153392	slyB
1429	rpsO	3312349	3312762	-	202,0690834	rpsO
316	gltA	754670	756213	-	192,5716137	gltA
793	rplT-pheM	1801997	1802598	-	191,1041232	rplT-pheM
109	tff-rpsB-tsf	189712	191737	+	189,8740362	tff-rpsB-tsf
1313	pgk-fbaA	3069943	3072512	-	184,6226807	pgk-fbaA
1244	eno	2906421	2908623	-	184,448683	eno
146	phoE	258269	259381	-	180,8511325	phoE
1687	rpmBG	3829542	3830327	+	177,877068	rpmBG
1989	rpsF-priB-rpsR-rplI	4430827	4432358	+	173,295193	rpsF-priB-rpsR-rplI
1527	crp	4154746	4155506	-	171,1921053	crp
583	hns	1295160	1295656	-	168,4435743	hns
1777	rhoL	3670927	3671640	-	168,3749416	rhoL
1206	csrA	2818739	2819150	-	167,5961071	csrA
1602	uspA	4000946	4001536	-	166,5288136	uspA
1312	pgk	3071209	3072512	-	159,7735994	pgk
1479	mdh	3384307	3385289	-	157,4395791	mdh
1831	sodA	3536373	3537043	-	156,415745	sodA
1250	pyrG-eno	2906421	2909490	-	150,5480613	pyrG-eno
177	tsx	430320	431314	-	149,0955734	tsx
1870	rplKAJL-rpoBC	3448190	3459448	-	145,8505892	rplKAJL-rpoBC
418	pflB	952751	955394	-	144,3279102	pflB
1877	hupA	3437202	3437626	-	142,1887655	hupA
831	gapA-yeaD	1865454	1867569	+	139,7405776	gapA-yeaD
1585	ugpBAECQ	4049159	4054166	+	136,4303309	ugpBAECQ
332	gpmA	788387	789175	-	131,7026227	gpmA
1198	proVWX	2804533	2807901	+	130,5321655	proVWX
1431	metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp	3309976	3319273	-	129,5710803	metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp
1871	rplJL-rpoBC	3448190	3458179	-	128,7998409	rplJL-rpoBC
268	ahpCF	637916	640540	+	128,4563008	ahpCF
796	infC	1802932	1804181	-	127,0391767	infC
5	dnaK-tpke11-dnaJ	12123	15297	+	126,7305188	dnaK-tpke11-dnaJ
406	infA	927706	928022	-	126,2637131	infA
1735	pstB-phoU	3729247	3730949	+	125,3403839	pstB-phoU
249	ompT	583903	584887	-	124,1989684	ompT
1739	pstS	3726235	3727359	+	122,4714012	pstS
423	focA-pflB	952751	956036	-	120,4746829	focA-pflB
